theta;cos(theta);sin(theta)
-0.7853981633974483;0.7071079388260841;-0.7071056226268411
-0.7696902001294993;0.7181269316934049;-0.6959121418185532
-0.7539822368615503;0.7289696917869151;-0.6845459714531898
-0.7382742735936014;0.739631297532469;-0.6730122910812497
-0.7225663103256524;0.7501116930507123;-0.6613111579790711
-0.7068583470577035;0.7604057556018233;-0.64944829326123
-0.6911503837897545;0.7705134451389313;-0.6374237448908389
-0.6754424205218055;0.7804298792034388;-0.6252433168701828
-0.6597344572538566;0.7901560575701296;-0.6129057086072862
-0.6440264939859076;0.7996837757527828;-0.6004214002750814
-0.6283185307179586;0.8090176354162395;-0.5877843704074621
-0.6126105674500096;0.8181507126428187;-0.5750038344413042
-0.5969026041820606;0.8270808369852602;-0.5620829900726676
-0.5811946409141118;0.835807969328016;-0.5490218908526003
-0.5654866776461627;0.8443279694765806;-0.5358267277479172
-0.5497787143782138;0.8526405417360365;-0.5224979487247765
-0.5340707511102648;0.8607417526654899;-0.5090418821200728
-0.5183627878423158;0.8686315650120378;-0.4954585814848542
-0.5026548245743669;0.8763061254285276;-0.4817546857520938
-0.4869468613064179;0.883765391074121;-0.4679302661679685
-0.47123889803846897;0.8910057186149061;-0.4539920846000314
-0.45553093477052;0.8980270768515766;-0.43994018947705626
-0.439822971502571;0.9048278112895787;-0.42577767884358764
-0.42411500823462206;0.9114027046598494;-0.4115156247280538
-0.40840704496667307;0.9177550859749317;-0.39714682614430785
-0.3926990816987241;0.9238802213221788;-0.3826817679218948
-0.37699111843077515;0.9297766876406968;-0.3681240431033075
-0.36128315516282616;0.9354444523341954;-0.3534737299196422
-0.3455751918948772;0.94088074285537;-0.3387379916384816
-0.32986722862692824;0.9460855415090919;-0.32391688181087375
-0.31415926535897926;0.9510560198687017;-0.30901852482929826
-0.2984513020910303;0.955792729742825;-0.2940412503667176
-0.28274333882308134;0.960294128395617;-0.27898958697915077
-0.26703537555513235;0.9645569985732436;-0.2638745829463005
-0.25132741228718336;0.9685834036208689;-0.24868894601240754
-0.23561944901923448;0.9723702962510288;-0.23344379663467407
-0.2199114857512855;0.9759168378077447;-0.21814290201291442
-0.2042035224833365;0.9792230101302266;-0.2027863273397088
-0.18849555921538752;0.9822872686199844;-0.18738122237846255
-0.17278759594743853;0.9851094521582127;-0.17192837689071894
-0.15707963267948966;0.9876882559619844;-0.15643498860299587
-0.14137166941154067;0.990023672580719;-0.14090112131088972
-0.12566370614359168;0.9921145574189723;-0.12533436762169003
-0.10995574287564269;0.993960898835212;-0.1097348085604608
-0.0942477796076937;0.9955617976374924;-0.09411007072776556
-0.07853981633974472;0.9969172426499426;-0.07846021698787808
-0.06283185307179584;0.9980268310755491;-0.06278886133804917
-0.04712388980384685;0.9988898020237684;-0.047107959631830454
-0.031415926535897865;0.9995065927505493;-0.03140971949324012
-0.015707963267948877;0.9998766570352018;-0.015705635771155357
0.0;1.0;0.0
0.015707963267948988;0.9998766570352018;0.015705635771155357
0.031415926535897976;0.9995065927505493;0.03140971949324012
0.04712388980384696;0.9988898020237684;0.047107959631830454
0.06283185307179595;0.9980268310755491;0.06278886133804917
0.07853981633974494;0.9969172426499426;0.07846021698787808
0.09424777960769393;0.9955617976374924;0.09411007072776556
0.1099557428756428;0.993960898835212;0.1097348085604608
0.1256637061435918;0.9921145574189723;0.12533436762169003
0.14137166941154078;0.990023672580719;0.14090112131088972
0.15707963267948977;0.9876882559619844;0.15643498860299587
0.17278759594743875;0.9851094521582127;0.17192837689071894
0.18849555921538763;0.9822872686199844;0.18738122237846255
0.20420352248333662;0.9792230101302266;0.2027863273397088
0.2199114857512856;0.9759168378077447;0.21814290201291442
0.23561944901923448;0.9723702962510288;0.23344379663467407
0.2513274122871836;0.9685834036208689;0.24868894601240754
0.26703537555513246;0.9645569985732436;0.2638745829463005
0.28274333882308156;0.960294128395617;0.27898958697915077
0.29845130209103043;0.955792729742825;0.2940412503667176
0.3141592653589793;0.9510560198687017;0.30901852482929826
0.3298672286269284;0.9460855415090919;0.32391688181087375
0.3455751918948773;0.94088074285537;0.3387379916384816
0.3612831551628264;0.9354444523341954;0.3534737299196422
0.37699111843077526;0.9297766876406968;0.3681240431033075
0.39269908169872414;0.9238802213221788;0.3826817679218948
0.40840704496667324;0.9177550859749317;0.39714682614430785
0.4241150082346221;0.9114027046598494;0.4115156247280538
0.4398229715025712;0.9048278112895787;0.42577767884358764
0.4555309347705201;0.8980270768515766;0.43994018947705626
0.47123889803846897;0.8910057186149061;0.4539920846000314
0.48694686130641807;0.883765391074121;0.4679302661679685
0.5026548245743669;0.8763061254285276;0.4817546857520938
0.518362787842316;0.8686315650120378;0.4954585814848542
0.5340707511102649;0.8607417526654899;0.5090418821200728
0.549778714378214;0.8526405417360365;0.5224979487247765
0.5654866776461629;0.8443279694765806;0.5358267277479172
0.5811946409141118;0.835807969328016;0.5490218908526003
0.5969026041820609;0.8270808369852602;0.5620829900726676
0.6126105674500097;0.8181507126428187;0.5750038344413042
0.6283185307179588;0.8090176354162395;0.5877843704074621
0.6440264939859077;0.7996837757527828;0.6004214002750814
0.6597344572538566;0.7901560575701296;0.6129057086072862
0.6754424205218057;0.7804298792034388;0.6252433168701828
0.6911503837897546;0.7705134451389313;0.6374237448908389
0.7068583470577037;0.7604057556018233;0.64944829326123
0.7225663103256525;0.7501116930507123;0.6613111579790711
0.7382742735936014;0.739631297532469;0.6730122910812497
0.7539822368615505;0.7289696917869151;0.6845459714531898
0.7696902001294994;0.7181269316934049;0.6959121418185532
