theta;cos(theta);sin(theta)
-0.7853981633974483;0.7070045353875427;-0.7070018383844193
-0.7696902001294993;0.7180210890555494;-0.6958108422617361
-0.7539822368615503;0.7288618302640875;-0.6844468167225181
-0.7382742735936014;0.7395214522394224;-0.672915324699326
-0.7225663103256524;0.7500024361771169;-0.6612135496690108
-0.7068583470577035;0.7602945627323583;-0.6493529012925991
-0.6911503837897545;0.7704003591469012;-0.6373306042893511
-0.6754424205218055;0.7803148784181424;-0.6251525438297307
-0.6597344572538566;0.7900404199946202;-0.6128157531527955
-0.6440264939859076;0.799567501115608;-0.600332261083182
-0.6283185307179586;0.8088984697746069;-0.5876991391297108
-0.6126105674500096;0.8180287582637036;-0.57492257147467
-0.5969026041820606;0.8269604752095397;-0.5619994528277727
-0.5811946409141118;0.8356849118595988;-0.5489423837049916
-0.5654866776461627;0.8442042276926707;-0.535748293962123
-0.5497787143782138;0.8525142523221889;-0.5224236423871369
-0.5340707511102648;0.8606168952311115;-0.5089651974155658
-0.5183627878423158;0.8685042560446001;-0.49538608152623687
-0.5026548245743669;0.8761782972042567;-0.4816830950383799
-0.48694686130641784;0.8836370468525437;-0.46785957505133857
-0.47123889803846897;0.8908768535456657;-0.45392228889324027
-0.45553093477052;0.8978960107128454;-0.43987471680407075
-0.439822971502571;0.9046944912645657;-0.4257169129985939
-0.4241150082346221;0.9112705367725009;-0.41145233180510943
-0.408407044966673;0.9176209279221949;-0.3970879564740208
-0.39269908169872414;0.9237441800364746;-0.3826273675343217
-0.37699111843077515;0.9296402694834512;-0.3680706207947598
-0.36128315516282616;0.9353063100017507;-0.3534248420929304
-0.3455751918948772;0.9407435717173399;-0.3386864993028299
-0.3298672286269282;0.9459467531000725;-0.3238699628507313
-0.3141592653589793;0.9509171822709254;-0.30897172200612055
-0.2984513020910303;0.9556524260989466;-0.2939990697752308
-0.28274333882308134;0.960153530419773;-0.27894840125003373
-0.26703537555513235;0.9644161064911483;-0.26383439138588044
-0.25132741228718336;0.968441259372713;-0.2486534529864755
-0.23561944901923448;0.9722279090593194;-0.23340930869107895
-0.2199114857512855;0.9757742017900619;-0.2181094212969058
-0.2042035224833365;0.9790793501097119;-0.2027575861126974
-0.18849555921538752;0.9821433412624825;-0.18735386238684984
-0.17278759594743853;0.9849653311208224;-0.17190203322692918
-0.15707963267948966;0.9875439381747142;-0.15640966310263538
-0.14137166941154067;0.9898786148321999;-0.14088058927825758
-0.12566370614359168;0.9919693520829006;-0.1253148716862213
-0.10995574287564269;0.9938151264663986;-0.10972013007684565
-0.0942477796076937;0.9954162898013006;-0.09409262742487709
-0.07853981633974472;0.9967712808944671;-0.07844760112015574
-0.06283185307179584;0.9978805130583366;-0.06278132043796669
-0.04712388980384685;0.9987434433001376;-0.047101454356403165
-0.031415926535897865;0.9993601880944865;-0.031404251133505055
